Trainer_PK,Horse_PK,Horse_Name,Horse_BY,Trainer_Num,Trainer_Name,Trainer_Div
70148,41018,알찬누리,2017,10,정호익,서울 경마장
70225,41041,만세,2017,21,문병기,서울 경마장
70168,43453,스피돔,2017,8,최용구,서울 경마장
70165,40909,이스트제트,2017,33,서인석,서울 경마장
70181,41391,전정사금,2017,42,이관호,서울 경마장
70098,40946,록라인,2017,3,최영주,서울 경마장
70164,43486,문학킹,2017,50,박재우,서울 경마장
70165,43468,선포레,2017,33,서인석,서울 경마장
70174,43516,로열태리,2017,9,강성오,서울 경마장
70181,40914,챌린지삭스,2017,42,이관호,서울 경마장
70085,41091,글로벌골드,2017,28,최상식,서울 경마장
70179,43608,어마어마,2017,40,송문길,서울 경마장
70265,41376,성실머니,2017,30,토니,서울 경마장
70114,43585,정상킹덤,2017,15,박희철,서울 경마장
70163,41249,리얼팩,2017,27,박병일,서울 경마장
70146,40901,메니챔프,2017,22,안병기,서울 경마장
70117,43568,행복왕자,2017,4,박윤규,서울 경마장
70114,40998,스페셜스토리,2017,15,박희철,서울 경마장
70168,43513,로열엘비스,2017,8,최용구,서울 경마장
70145,41218,정문볼트,2017,6,홍대유,서울 경마장
70096,41268,큐피드비상,2017,12,서범석,서울 경마장
70085,41251,베스트럭키,2017,28,최상식,서울 경마장
70096,43556,로드반,2017,12,서범석,서울 경마장
70163,41273,은혜충만,2017,27,박병일,서울 경마장
70179,40842,어메이징위즈,2017,40,송문길,서울 경마장
70170,41261,하이퍼카,2017,52,김동균,서울 경마장
70163,41300,드림패션,2017,27,박병일,서울 경마장
70096,41177,선파이팅,2017,12,서범석,서울 경마장
70167,43574,아이언삭스,2017,14,이신영,서울 경마장
70148,41851,소울메리트,2017,10,정호익,서울 경마장
70108,43356,파크윈,2017,26,안해양,서울 경마장
70149,41216,티즈블랙,2017,5,우창구,서울 경마장
70152,43489,마하걸,2017,16,최봉주,서울 경마장
70117,41496,광양으뜸,2017,4,박윤규,서울 경마장
70164,41346,야호골든캣,2017,50,박재우,서울 경마장
70053,41501,베스트탑,2017,13,이희영,서울 경마장
70096,41253,에이피파텍,2017,12,서범석,서울 경마장
70095,41304,라온패션,2017,1,박종곤,서울 경마장
70181,41356,에이스함성,2017,42,이관호,서울 경마장
70110,43466,더트서퍼,2017,23,유재길,서울 경마장
70110,41395,경부도령,2017,23,유재길,서울 경마장
70108,41476,레이디켈리,2017,26,안해양,서울 경마장
70091,41258,다이아키,2017,20,배대선,서울 경마장
70168,43452,돌아온뽀빠이,2017,8,최용구,서울 경마장
70179,41169,온리위너,2017,40,송문길,서울 경마장
70165,41149,열린문,2017,33,서인석,서울 경마장
70148,41045,땡큐대천,2017,10,정호익,서울 경마장
70149,41467,운외창천,2017,5,우창구,서울 경마장
70181,44940,로열함성,2017,42,이관호,서울 경마장
70160,44938,마이티뉴,2017,24,서홍수,서울 경마장
70161,44942,큐피드베이브,2017,41,신삼영,서울 경마장
70181,42293,빅에너지,2018,42,이관호,서울 경마장
70152,45110,별나라질주,2018,16,최봉주,서울 경마장
70095,42221,라온비트,2018,1,박종곤,서울 경마장
70244,42354,벌말대장,2018,34,리카디,서울 경마장
70265,44929,남산주몽,2018,30,토니,서울 경마장
70167,42332,스카이망치,2018,14,이신영,서울 경마장
70179,43429,제다이,2018,40,송문길,서울 경마장
70198,42282,플라잉풀문,2018,35,임채덕,서울 경마장
70152,43184,챔피언가문,2018,16,최봉주,서울 경마장
70150,45457,제이에스군황,2018,2,손영표,서울 경마장
70108,42477,구억마알,2018,26,안해양,서울 경마장
70117,44742,베링맨,2018,4,박윤규,서울 경마장
70168,45045,발베니,2018,8,최용구,서울 경마장
70095,42251,라온더타이거,2018,1,박종곤,서울 경마장
70157,43427,대지의여걸,2018,7,구자흥,서울 경마장
70094,43207,콜조이,2018,19,곽영효,서울 경마장
70182,42254,최강게임,2018,25,전승규,서울 경마장
70096,42261,원더풀하와이,2018,12,서범석,서울 경마장
70170,44969,레전드데이,2018,52,김동균,서울 경마장
70149,45115,몬스터케이,2018,5,우창구,서울 경마장
70085,42292,카우보이탱고,2018,28,최상식,서울 경마장
70199,42399,퀸오브베스트,2018,11,조현수,서울 경마장
70244,42258,최강블랙,2018,34,리카디,서울 경마장
70175,42413,장산가드,2018,31,강환민,서울 경마장
70167,42285,바이킹하트,2018,14,이신영,서울 경마장
70148,42309,영웅대마,2018,10,정호익,서울 경마장
70053,42369,엘리트룰즈,2018,13,이희영,서울 경마장
70199,45656,도깨비,2018,11,조현수,서울 경마장
70165,42446,빅레드,2018,33,서인석,서울 경마장
70197,44754,흥록대부,2018,48,이준철,서울 경마장
70150,42440,파워돌풍,2018,2,손영표,서울 경마장
70198,42321,투에이스,2018,35,임채덕,서울 경마장
70199,42453,모던타임즈,2018,11,조현수,서울 경마장
70095,42250,라온샹젤리,2018,1,박종곤,서울 경마장
70182,42245,아스펜로스,2018,25,전승규,서울 경마장
70198,42278,쿨프린세스,2018,35,임채덕,서울 경마장
70164,42533,그랜드스타,2018,50,박재우,서울 경마장
70144,43193,데스크탑,2018,29,배휴준,서울 경마장
70152,42283,블루카이저,2018,16,최봉주,서울 경마장
70175,42410,바잉블레이드,2018,31,강환민,서울 경마장
70160,43170,깡돌이,2018,24,서홍수,서울 경마장
70152,42805,파이팅대디,2018,16,최봉주,서울 경마장
70117,42651,케이프렌지,2018,4,박윤규,서울 경마장
70164,42386,옥스퍼드킹,2018,50,박재우,서울 경마장
70170,45455,볼트맨,2018,52,김동균,서울 경마장
70108,43311,바다의꿈,2018,26,안해양,서울 경마장
70114,42638,아침함성,2018,15,박희철,서울 경마장
70098,42621,골드카이저,2018,3,최영주,서울 경마장
70182,43248,미스양호,2018,25,전승규,서울 경마장
70165,42601,매직주니어,2018,33,서인석,서울 경마장
70225,42498,원더풀조이,2018,21,문병기,서울 경마장
70164,42542,영광의미소,2018,50,박재우,서울 경마장
70167,43220,스위트주스바,2018,14,이신영,서울 경마장
70265,42409,스타블레이드,2018,30,토니,서울 경마장
70165,45658,티즈에너지,2018,33,서인석,서울 경마장
70148,42738,터프맨,2018,10,정호익,서울 경마장
70167,42662,델피니,2018,14,이신영,서울 경마장
70177,42419,태양타고,2018,53,김동철,서울 경마장
70096,42448,런런런,2018,12,서범석,서울 경마장
70225,42531,베스트타임,2018,21,문병기,서울 경마장
70146,43201,로열로드,2018,22,안병기,서울 경마장
70175,44750,장산클리어,2018,31,강환민,서울 경마장
70161,42418,루미너스퀸,2018,41,신삼영,서울 경마장
70164,42497,이스트임팩트,2018,50,박재우,서울 경마장
70181,42376,불화산,2018,42,이관호,서울 경마장
70174,42706,나의나라,2018,9,강성오,서울 경마장
70114,42746,원더풀샘,2018,15,박희철,서울 경마장
70095,42461,라온핑크,2018,1,박종곤,서울 경마장
70174,42577,블랙루키,2018,9,강성오,서울 경마장
70165,46505,노던타임,2018,33,서인석,서울 경마장
70149,45116,선더타임,2018,5,우창구,서울 경마장
70146,42549,선더호스,2018,22,안병기,서울 경마장
70091,42722,머니가락,2018,20,배대선,서울 경마장
70160,44917,마이티지,2018,24,서홍수,서울 경마장
70175,43282,해피삭스,2018,31,강환민,서울 경마장
70170,42452,스팟플래터,2018,52,김동균,서울 경마장
70160,44918,마이티킥,2018,24,서홍수,서울 경마장
70170,45453,블랙머스크,2018,52,김동균,서울 경마장
70166,42297,나인아이,2018,37,심승태,서울 경마장
70181,42739,서브에이스,2018,42,이관호,서울 경마장
70179,43398,블랙참,2018,40,송문길,서울 경마장
70160,44916,마이티칩,2018,24,서홍수,서울 경마장
70149,43315,코브라볼,2018,5,우창구,서울 경마장
70096,42159,라피어반,2018,12,서범석,서울 경마장
70182,43410,화이트참,2018,25,전승규,서울 경마장
70103,42748,룰즈클래스,2018,32,김윤섭,서울 경마장
70094,42535,머니스톤,2018,19,곽영효,서울 경마장
70161,43416,논스톱기상,2018,41,신삼영,서울 경마장
70150,42658,사랑다모아,2018,2,손영표,서울 경마장
70244,45659,남산러브,2018,34,리카디,서울 경마장
70148,42825,흥드림,2018,10,정호익,서울 경마장
70103,42893,고고스타,2018,32,김윤섭,서울 경마장
70108,43314,더퀸저스티스,2018,26,안해양,서울 경마장
70108,42450,폭스파워,2018,26,안해양,서울 경마장
70167,42423,아침기상,2018,14,이신영,서울 경마장
70165,42561,옐로우캣,2018,33,서인석,서울 경마장
70117,42861,럭키클럽,2018,4,박윤규,서울 경마장
70174,42675,킹심바,2018,9,강성오,서울 경마장
70145,42881,배다리캔디,2018,6,홍대유,서울 경마장
70053,42876,런던퀸,2018,13,이희영,서울 경마장
70152,43403,케이엔라이트,2018,16,최봉주,서울 경마장
70161,42131,좋은관계,2018,41,신삼영,서울 경마장
70165,45671,라이오넷,2018,33,서인석,서울 경마장
70085,43137,록파이터,2018,28,최상식,서울 경마장
70148,42784,하이하이,2018,10,정호익,서울 경마장
70197,45449,와일들리로맨틱,2018,48,이준철,서울 경마장
70144,43124,클라우터,2018,29,배휴준,서울 경마장
70198,42791,플라잉카라,2018,35,임채덕,서울 경마장
70152,43340,케이엔포스트,2018,16,최봉주,서울 경마장
70174,45655,최고레이스,2018,9,강성오,서울 경마장
70146,42703,찬란한날,2018,22,안병기,서울 경마장
70146,42443,울트라킹,2018,22,안병기,서울 경마장
70160,42554,원더풀데블,2018,24,서홍수,서울 경마장
70164,42916,치프인디,2018,50,박재우,서울 경마장
70167,42772,비바소모,2018,14,이신영,서울 경마장
70157,42799,그린폭주,2018,7,구자흥,서울 경마장
70163,43400,금세다,2018,27,박병일,서울 경마장
70166,42595,소베라니아,2018,37,심승태,서울 경마장
70146,45121,스프링꿈,2018,22,안병기,서울 경마장
70085,42939,거센돌풍,2018,28,최상식,서울 경마장
70096,42819,카지노스타,2018,12,서범석,서울 경마장
70098,42802,김천영웅,2018,3,최영주,서울 경마장
70164,42961,최강퀸,2018,50,박재우,서울 경마장
70200,44749,장산미사일,2018,51,최용건,서울 경마장
70144,42943,세명나래,2018,29,배휴준,서울 경마장
70170,42487,천둥세자,2018,52,김동균,서울 경마장
70085,43109,글로벌영웅,2018,28,최상식,서울 경마장
70168,43097,회두령,2018,8,최용구,서울 경마장
70157,42702,정문최강,2018,7,구자흥,서울 경마장
70182,45126,럭키훈,2018,25,전승규,서울 경마장
70179,45130,스피디루키,2018,40,송문길,서울 경마장
70150,43313,엑톤질주,2018,2,손영표,서울 경마장
70114,43070,젤로스,2018,15,박희철,서울 경마장
70182,43021,명진데이,2018,25,전승규,서울 경마장
70091,42867,옥동공주,2018,20,배대선,서울 경마장
70198,46250,스파이스타워,2018,35,임채덕,서울 경마장
70091,43125,농본바다,2018,20,배대선,서울 경마장
70174,42960,일격필살,2018,9,강성오,서울 경마장
70095,42645,라온더파이터,2018,1,박종곤,서울 경마장
70197,42942,흥바라기,2018,48,이준철,서울 경마장
70157,42564,그린필스타,2018,7,구자흥,서울 경마장
70114,43053,마에스트로,2018,15,박희철,서울 경마장
70175,44926,빅야크,2018,31,강환민,서울 경마장
70182,43031,볼드어게인,2018,25,전승규,서울 경마장
70175,44751,최강블레이드,2018,31,강환민,서울 경마장
70149,45118,러블리케이,2018,5,우창구,서울 경마장
70199,42134,원더풀우먼,2018,11,조현수,서울 경마장
70174,43082,온포인트,2018,9,강성오,서울 경마장
70244,43105,트로팅라일리,2018,34,리카디,서울 경마장
70165,46253,디스챌린지,2018,33,서인석,서울 경마장
70103,43107,어디가나,2018,32,김윤섭,서울 경마장
70157,43088,대산특급,2018,7,구자흥,서울 경마장
70177,42821,대한질주,2018,53,김동철,서울 경마장
70091,43351,원더풀케이,2018,20,배대선,서울 경마장
70110,43417,별빛보석,2018,23,유재길,서울 경마장
70096,43164,논스톱캣,2018,12,서범석,서울 경마장
70085,43100,글로벌스톰,2018,28,최상식,서울 경마장
70200,46258,그레이트선더,2018,51,최용건,서울 경마장
70225,42023,퀸즈투어,2018,21,문병기,서울 경마장
70177,43407,럭셔리킹,2018,53,김동철,서울 경마장
70110,42004,빛나는질주,2018,23,유재길,서울 경마장
70091,46251,오섬스프링스,2018,20,배대선,서울 경마장
70149,45117,알렉산더원,2018,5,우창구,서울 경마장
70095,43123,탑퀄리티,2018,1,박종곤,서울 경마장
70085,44920,글로벌신화,2018,28,최상식,서울 경마장
70170,45450,빅터문,2018,52,김동균,서울 경마장
70117,42114,동진최강,2018,4,박윤규,서울 경마장
70115,42826,베스트천상,2018,54,박천서,서울 경마장
70160,45657,마이티웰,2018,24,서홍수,서울 경마장
70117,43168,브이퀸,2018,4,박윤규,서울 경마장
70160,45131,마이티후,2018,24,서홍수,서울 경마장
70244,42947,남산시대,2018,34,리카디,서울 경마장
70157,45654,그린질주,2018,7,구자흥,서울 경마장
70166,42055,스타크레이지,2018,37,심승태,서울 경마장
70199,42063,드림맥스,2018,11,조현수,서울 경마장
70096,42974,원더풀타이쿤,2018,12,서범석,서울 경마장
70181,43138,청산강호,2018,42,이관호,서울 경마장
70108,43312,드림여왕,2018,26,안해양,서울 경마장
70114,43007,대세만세,2018,15,박희철,서울 경마장
70152,45112,별나라비마,2018,16,최봉주,서울 경마장
70225,42046,엠제이베스트,2018,21,문병기,서울 경마장
70200,42917,장산레이저,2018,51,최용건,서울 경마장
70200,43010,케이엔언더킹,2018,51,최용건,서울 경마장
70117,43111,걸작맨,2018,4,박윤규,서울 경마장
